season,name,balls_faced,boundary_count,boundary_percent
2007/08,A Chopra,55,5,9.09
2007/08,A Kumble,17,1,5.88
2007/08,A Mishra,42,3,7.14
2007/08,A Mukund,1,0,0.0
2007/08,A Nehra,13,0,0.0
2007/08,A Symonds,111,24,21.62
2007/08,AA Noffke,12,1,8.33
2007/08,AB Agarkar,49,7,14.29
2007/08,AB Dinda,4,0,0.0
2007/08,AB de Villiers,100,6,6.0
2007/08,AC Gilchrist,328,70,21.34
2007/08,AD Mascarenhas,8,1,12.5
2007/08,AM Nayar,142,25,17.61
2007/08,AM Rahane,19,1,5.26
2007/08,AS Yadav,40,7,17.5
2007/08,Abdur Razzak,2,0,0.0
2007/08,B Akhil,32,7,21.88
2007/08,B Chipli,30,3,10.0
2007/08,B Lee,14,3,21.43
2007/08,BB McCullum,96,28,29.17
2007/08,BJ Hodge,18,2,11.11
2007/08,CK Kapugedera,24,0,0.0
2007/08,CL White,105,12,11.43
2007/08,CRD Fernando,1,0,0.0
2007/08,D Kalyankrishna,8,0,0.0
2007/08,D Salunkhe,24,5,20.83
2007/08,DB Das,95,14,14.74
2007/08,DB Ravi Teja,85,15,17.65
2007/08,DJ Bravo,137,24,17.52
2007/08,DJ Hussey,267,36,13.48
2007/08,DJ Thornely,54,4,7.41
2007/08,DNT Zoysa,9,1,11.11
2007/08,DP Vijaykumar,1,0,0.0
2007/08,DPMD Jayawardene,138,22,15.94
2007/08,DR Smith,41,6,14.63
2007/08,DS Kulkarni,17,0,0.0
2007/08,DS Lehmann,19,3,15.79
2007/08,DT Patil,13,1,7.69
2007/08,DW Steyn,5,0,0.0
2007/08,G Gambhir,394,76,19.29
2007/08,GC Smith,375,62,16.53
2007/08,GD McGrath,5,1,20.0
2007/08,H Das,5,0,0.0
2007/08,HH Gibbs,159,25,15.72
2007/08,Harbhajan Singh,17,4,23.53
2007/08,I Sharma,11,1,9.09
2007/08,IK Pathan,120,15,12.5
2007/08,Iqbal Abdulla,2,0,0.0
2007/08,J Arunkumar,24,5,20.83
2007/08,JA Morkel,168,32,19.05
2007/08,JDP Oram,13,2,15.38
2007/08,JH Kallis,188,27,14.36
2007/08,JR Hopes,152,35,23.03
2007/08,Joginder Sharma,11,2,18.18
2007/08,K Goel,79,11,13.92
2007/08,KC Sangakkara,207,49,23.67
2007/08,KD Karthik,108,17,15.74
2007/08,Kamran Akmal,78,21,26.92
2007/08,L Balaji,5,0,0.0
2007/08,L Ronchi,34,7,20.59
2007/08,LA Pomersbach,101,22,21.78
2007/08,LPC Silva,27,6,22.22
2007/08,LR Shukla,127,22,17.32
2007/08,LRPL Taylor,85,23,27.06
2007/08,M Kaif,176,20,11.36
2007/08,M Kartik,28,3,10.71
2007/08,M Muralitharan,3,0,0.0
2007/08,M Ntini,19,2,10.53
2007/08,M Rawat,39,4,10.26
2007/08,MA Khote,22,3,13.64
2007/08,MEK Hussey,100,23,23.0
2007/08,MF Maharoof,79,17,21.52
2007/08,MK Pandey,10,0,0.0
2007/08,MK Tiwary,87,16,18.39
2007/08,ML Hayden,135,30,22.22
2007/08,MM Patel,1,0,0.0
2007/08,MS Dhoni,319,53,16.61
2007/08,MS Gony,25,5,20.0
2007/08,MV Boucher,181,30,16.57
